mape,rmse,mae,r2,model
852800059860353.8,0.2553500772112193,0.1893596523717353,0.0,y_pred_1
819312369161222.1,0.2584089603706063,0.18192389132059497,0.0,y_pred_2
808150628655092.9,0.2578947579386667,0.17944548705963578,0.0,y_pred_3
800101464196389.8,0.2622445218130956,0.17765821351742644,0.0,y_pred_4
855866199280216.6,0.2844752407875714,0.19004047208786382,0.0,y_pred_5
882512116637346.5,0.2951627543826251,0.19595705428029275,0.0,y_pred_6
1032165921386995.2,0.39080086716014156,0.22918687423145628,0.0,y_pred_7
1049234898967549.4,0.3993318622455071,0.23297694861480464,0.0,y_pred_8
1116195042685237.2,0.49613688367816594,0.24784508727232196,0.0,y_pred_9
830761289169964.0,0.254503694127139,0.18446606224075435,0.0,ensemble_preds_2
820322303561324.9,0.2547330773535288,0.18214814180546599,0.0,ensemble_preds_3
811943611600350.1,0.2550790944060412,0.1802876984592028,0.0,ensemble_preds_4
818235159322311.4,0.2587999137212448,0.18168470268749268,0.0,ensemble_preds_5
818144198581054.0,0.26032126763866464,0.1816645053456365,0.0,ensemble_preds_6
836036005162924.0,0.2706131339496174,0.1856372844695029,0.0,ensemble_preds_7
851726633993362.1,0.27668026628573916,0.18912130394918283,0.0,ensemble_preds_8
866335513393438.5,0.2910119420362771,0.19236512680397022,0.0,ensemble_preds_9
